127.0.0.1 - - [19/Jan/2018:18:33:10 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:33:12 +0530] "GET /GraphDemo/pages/graphs.jsp HTTP/1.1" 200 19823
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:33:12 +0530] "GET /GraphDemo/theme/bower_components/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:33:12 +0530] "GET /GraphDemo/theme/bower_components/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:33:12 +0530] "GET /GraphDemo/theme/bower_components/Ionicons/css/ionicons.min.css HTTP/1.1" 200 51284
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:33:12 +0530] "GET /GraphDemo/theme/dist/css/AdminLTE.min.css HTTP/1.1" 200 106344
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:33:12 +0530] "GET /GraphDemo/theme/bower_components/datatables.net-bs/css/dataTables.bootstrap.min.css HTTP/1.1" 200 4188
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:33:12 +0530] "GET /GraphDemo/theme/bower_components/morris.js/morris.css HTTP/1.1" 200 433
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:33:12 +0530] "GET /GraphDemo/theme/bower_components/bootstrap-daterangepicker/daterangepicker.css HTTP/1.1" 200 8163
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:33:12 +0530] "GET /GraphDemo/theme/dist/css/skins/_all-skins.min.css HTTP/1.1" 200 41583
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:33:12 +0530] "GET /GraphDemo/theme/bower_components/jvectormap/jquery-jvectormap.css HTTP/1.1" 200 6635
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:33:12 +0530] "GET /GraphDemo/theme/bower_components/bootstrap-datepicker/dist/css/bootstrap-datepicker.min.css HTTP/1.1" 200 15731
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:33:12 +0530] "GET /GraphDemo/theme/plugins/bootstrap-wysihtml5/bootstrap3-wysihtml5.min.css HTTP/1.1" 200 2226
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:33:12 +0530] "GET /GraphDemo/theme/plugins/iCheck/square/blue.css HTTP/1.1" 200 1611
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:33:13 +0530] "GET /GraphDemo/theme/bower_components/bootstrap/dist/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:33:13 +0530] "GET /GraphDemo/theme/bower_components/Ionicons/fonts/ionicons.eot?v=2.0.0 HTTP/1.1" 200 120724
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:33:13 +0530] "GET /GraphDemo/theme/bower_components/font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 165742
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:33:13 +0530] "GET /GraphDemo/theme/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:33:13 +0530] "GET /GraphDemo/theme/bower_components/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 240427
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:33:13 +0530] "GET /GraphDemo/theme/bower_components/morris.js/morris.min.js HTTP/1.1" 200 35652
0:0:0:0:0:0:0:1 - - [19/Jan/2018:18:33:13 +0530] "GET /GraphDemo/theme/bower_components/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 37045
